id,name,district,coordinates,type,cuisine,famous_dish,price_level,opening_time,description,transport
ryld001,Wing Shun Restaurant,Yuen Long,,Cha Chaan Teng,Hong Kong,Satay Beef Noodle,51-100,0630-1730,,"MTR, Bus, Light Rail"
ryld002,LokWu Noodles,Yuen Long,,Restaurant,Chinese,Knife Cut Noodles,51-100,1200-2200,,"Bus, Light Rail"
ryld003,劉興記生煎包專門店,Yuen Long,,Restaurant,Chinese,Shengjian Mantou (Pan Fried Bun),51-100,1130-2030,,"Bus, Light Rail"
rtmd001,雲川,Tuen Mun,,Restaurant,Chinese,Rice Noodles,51-100,1100-2230,,"Bus, Light Rail"
rtmd002,很得輝,Tuen Mun,,Snacks,Hong Kong,Fried Chicken,<50,1230-0200,,"Bus, Light Rail"
rtmd003,1986正宗越南料理 VIETNAMESE RESTAURANT,Tuen Mun,,Restaurant,Vietnamese,Pho (Vietnamese Noodle),50-100,1100-2030,,"MTR, Bus, Light Rail"
rtwd,,Tsuen Wan,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
