OBJECTID,PLACE_NAME_ID,GEO_NAME_ID,NAME_EN,NAME_STATUS,COORDINATES,DISTRICT
1,10000,1,A Chau,Official,"22.52775673,114.210886311",North District
2,20000,2,A Kung Kok,Official,"22.400256213,114.215210846",Sha Tin District
3,30000,3,A Kung Ngam,Official,"22.282093869,114.233202533",Eastern District
4,40000,4,A Kung Tin,Official,"22.454138521,114.100224046",Yuen Long District
5,50000,5,A Kung Wan,Official,"22.331798799,114.271049967",Sai Kung District
6,60000,6,A Ma Tsui,Official,"22.542069241,114.437963147",Tai Po District
7,70000,7,A Ma Wan,Official,"22.542207447,114.436262161",Tai Po District
8,80000,8,A Ma Wat,Official,"22.517839723,114.244689227",North District
9,90000,9,A Po Long,Official,"22.280209547,113.983517718",Islands District
10,100000,10,A Shan,Official,"22.472755171,114.195102781",Tai Po District
11,110000,11,Aberdeen,Official,"22.251410257,114.155091092",Southern District
12,130000,13,Aberdeen Channel,Official,"22.238629441,114.162634151",Southern District
13,170000,17,Adamasta Channel,Official,"22.216967506,114.016279989",Islands District
14,180000,18,Ah Kung Au,Official,"22.544914028,114.24152347",North District
15,190000,19,Ah Kung Kok Fishermen Village,Official,"22.40229553,114.217051746",Sha Tin District
16,200000,20,Ah Kung Tsui,Official,"22.548453319,114.24300285",North District
17,210000,21,Ah Kung Wan,Official,"22.547098285,114.244168821",North District
18,230000,23,Amah Rock,Official,"22.359504841,114.179806414",Sha Tin District
19,250000,25,Ap Chau Hoi,Official,"22.547087858,114.265654014",North District
20,260000,26,Ap Chau Mei Pak Tun Pai,Official,"22.549586947,114.269748568",North District
21,270000,27,Ap Chau Pak Tun Pai,Official,"22.550563531,114.267454818",North District
22,280000,28,Ap Lei Chau,Official,"22.240434767,114.155261574",Southern District
23,300000,30,Ap Lei Pai,Official,"22.231224087,114.160597921",Southern District
24,310000,31,Ap Lo Chun,Official,"22.552461357,114.264831068",North District
25,320000,32,Ap Tan Pai,Official,"22.553093106,114.265512024",North District
26,330000,33,Ap Tau Pai,Official,"22.535769063,114.272257064",North District
27,350000,35,Assistance Rock,Official,"22.229056894,114.16244112",Southern District
28,360000,36,Au Ha,Official,"22.527578631,114.195586281",North District
29,370000,37,Au Kung Shan,Official,"22.547746483,114.428388139",Tai Po District
30,380000,38,Au Mun,Official,"22.42862858,114.303937208",Tai Po District
31,390000,39,Au Pui Leng,Official,"22.543125034,114.243933577",North District
32,400000,40,Au Pui Tong,Official,"22.546149124,114.293302039",North District
33,410000,41,Au Pui Wan,Official,"22.407104743,114.174679463",Sha Tin District
34,420000,42,Au Tau,Official,"22.329310589,114.244500615",Sai Kung District
35,430000,43,Au Tau,Official,"22.329310589,114.244500615",Sai Kung District
36,440000,44,Au Tsai,Official,"22.544917129,114.254890752",North District
37,450000,45,Au Yue Tsui,Official,"22.513487522,114.278228948",North District
38,470000,47,Basalt Island,Official,"22.314648029,114.366007934",Sai Kung District
39,480000,48,Bay Islet,Official,"22.335632974,114.334148532",Sai Kung District
40,480001,48,See Chau,Alias,"22.335632974,114.334148532",Sai Kung District
41,510000,51,Beacon Hill,Official,"22.345778393,114.173816413",Kowloon City District
42,520000,52,Beacon Hill,Official,"22.345778393,114.173816413",Kowloon City District
43,530000,53,Beaufort Island,Official,"22.185151623,114.250394841",Islands District
44,530002,53,Lo Chau,Alias,"22.185151623,114.250394841",Islands District
45,540000,54,Belcher Bay,Official,"22.28594362,114.128860656",Central and Western District
46,570000,57,Bennet's Hill,Official,"22.252979473,114.16644535",Southern District
47,590000,59,Big Wave Bay,Official,"22.244393602,114.249164635",Southern District
48,600000,60,Biu Tsim Kok,Official,"22.363440698,114.380345968",Sai Kung District
49,610000,61,Black Hill,Official,"22.309650937,114.244636716",Sai Kung District
50,610003,61,Ng Kwai Shan,Alias,"22.309650937,114.244636716",Sai Kung District
51,620000,62,Black Point,Official,"22.405913801,113.901948824",Tuen Mun District
52,620004,62,Lan Kok Tsui,Alias,"22.405913801,113.901948824",Tuen Mun District
53,630000,63,Bluff Head,Official,"22.194375337,114.214034577",Southern District
54,630005,63,Wong Ma Kok,Alias,"22.194375337,114.214034577",Southern District
55,640000,64,Bluff Island,Official,"22.320625307,114.350729009",Sai Kung District
56,640006,64,Sha Tong Hau Shan,Alias,"22.320625307,114.350729009",Sai Kung District
57,650000,65,Boa Vista,Official,"22.253172077,114.222441802",Southern District
58,660000,66,Boon Kin Village,Official,"22.316175561,114.271621822",Sai Kung District
59,680000,68,Braemar Hill,Official,"22.286489817,114.206587064",Eastern District
60,690000,69,Brick Hill,Official,"22.237781096,114.171723454",Southern District
61,690007,69,Nam Long Shan,Alias,"22.237781096,114.171723454",Southern District
62,700000,70,Bridge Hill,Official,"22.237514128,114.217780579",Southern District
63,700008,70,Lin Fa Tseng Shan,Alias,"22.237514128,114.217780579",Southern District
64,710000,71,Brothers Point,Official,"22.357397414,114.020381606",Tuen Mun District
65,710009,71,Tai Lam Kok,Alias,"22.357397414,114.020381606",Tuen Mun District
66,720000,72,Buffalo Hill,Official,"22.374575657,114.234336909",Sha Tin District
67,730000,73,Buffalo Pass,Official,"22.373716499,114.2377738",Sai Kung District
68,730010,73,Ta She Yau Au,Alias,"22.373716499,114.2377738",Sai Kung District
69,740000,74,Bun Bei Chau,Official,"22.336590131,114.367833336",Sai Kung District
70,750000,75,Bun Sha Pai,Official,"22.459208694,114.287555323",Tai Po District
71,790000,79,Butterfly Hill,Official,"22.269747446,113.995126584",Islands District
72,800000,80,Butterfly Valley,Official,"22.34361676,114.14385867",Kwai Tsing District
73,830000,83,Camp Cove,Official,"22.534784967,114.298697349",North District
74,830011,83,Pak Sha Tau Wan,Alias,"22.534784967,114.298697349",North District
75,850000,85,Cape Collinson,Official,"22.261439657,114.257323039",Eastern District
76,850012,85,Hak Kok Tau,Alias,"22.261439657,114.257323039",Eastern District
77,870000,87,Cape D'Aguilar,Official,"22.208265402,114.260493117",Southern District
78,870013,87,Hok Tsui,Alias,"22.208265402,114.260493117",Southern District
79,880000,88,CARE Village,Official,"22.442910591,114.178506438",Tai Po District
